event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
THA13031,2024-09-01,2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Malay Muslim Separatists (Thailand)",,"Rebel group","Civilians (Thailand)",,Civilians,"Rebel group-Civilians",,764,"Southeast Asia",Thailand,Pattani,Yarang,"Khao Tum","Cha Ro Bo Ngo",6.5832,101.3655,1,"Isranews Agency",National,"Property destruction: On 1 September 2024, suspected Malay Muslim separatists destroyed two CCTVs in Cha Ro Bo Ngo village, Khao Tum, Yarang (Pattani).",0,,1753971276
THA13161,2024-09-05,2024,1,"Strategic developments","Strategic developments",Arrests,"Military Forces of Thailand (2023-2025)",,"State forces","Malay Muslim Separatists (Thailand)",,"Rebel group","State forces-Rebel group",,764,"Southeast Asia",Thailand,Pattani,"Sai Buri","Tro Bon",Trobon,6.6878,101.5459,2,"Deep South Watch (CSCD)","Local partner-Other","On 5 September 2024, the military engaged in counter-insurgency-related arrests in Trobon (Sai Buri, Pattani). No weapons were used. There were no casualties.",0,,1757450424
THA13035,2024-09-09,2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Malay Muslim Separatists (Thailand)",,"Rebel group","Civilians (Thailand)",,Civilians,"Rebel group-Civilians",,764,"Southeast Asia",Thailand,Yala,"Bannang Sata","Bannang Sata","Bannang Sata",6.2663,101.2646,1,"Isranews Agency",National,"Property destruction: On 9 September 2024, suspected Malay Muslim separatists opened fire on a bank in Bannang Sata village, Bannang Sata, Bannang Sata (Yala). There were no casualties.",0,,1753971276
THA13036,2024-09-14,2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Malay Muslim Separatists (Thailand)",,"Rebel group","Civilians (Thailand)",,Civilians,"Rebel group-Civilians",,764,"Southeast Asia",Thailand,Songkhla,"Saba Yoi","Ban Not","Ban Not",6.6293,101.0472,1,"Isranews Agency; Khaosod; Manager (Thailand)",National,"Property destruction: On 14 September 2024, suspected Malay Muslim separatists set fire to the Ban Not Subdistrict Administrative Organization (SAO) building, fired several shots at the site, and destroyed an ATM booth in Ban Not village, Ban Not, Saba Yoi (Songkhla) before fleeing on motorcycles. There were no casualties.",0,"local administrators",1753971276
THA13178,2024-09-21,2024,1,"Strategic developments","Strategic developments",Arrests,"Military Forces of Thailand (2023-2025)",,"State forces","Malay Muslim Separatists (Thailand)",,"Rebel group","State forces-Rebel group",,764,"Southeast Asia",Thailand,Yala,Yaha,Patae,Patae,6.4118,101.1339,2,"Deep South Watch (CSCD)","Local partner-Other","On 21 September 2024, the military engaged in counter-insurgency-related arrests in Patae (Yaha, Yala). No weapons were used. There were no casualties.",0,,1757450424
THA13041,2024-09-22,2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Police Forces of Thailand (2023-2025) Explosive Ordinance Disposal",,"State forces","Malay Muslim Separatists (Thailand)",,"Rebel group","State forces-Rebel group",,764,"Southeast Asia",Thailand,Narathiwat,Waeng,"Lo Chut","Ba La",5.8205,101.8538,1,"Bangkok Post; Isranews Agency",National,"Defusal: On 22 September 2024, EOD police defused two IIEDs, planted by suspected Malay Muslim Separatists at the Hala Bala Wildlife Sanctuary in Ba La village, Lo Chut, Waeng (Narathiwat). The officials believed that the explosions were set to target investigators after the attack on the previous day.",0,,1757450424
THA13043,2024-09-25,2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Malay Muslim Separatists (Thailand)",,"Rebel group","Civilians (Thailand)",,Civilians,"Rebel group-Civilians",,764,"Southeast Asia",Thailand,Pattani,"Thung Yang Daeng","Pa Ku","Moo 2",6.6320,101.4552,1,"Isranews Agency",National,"Property destruction: On 25 September 2024, suspected Malay Muslim separatists destroyed two CCTVs in Moo 2 village, Pa Ku, Thung Yang Daeng (Pattani). There were no casualties.",0,,1753971276
THA13042,2024-09-25,2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Malay Muslim Separatists (Thailand)",,"Rebel group","Civilians (Thailand)",,Civilians,"Rebel group-Civilians",,764,"Southeast Asia",Thailand,Pattani,"Thung Yang Daeng","Pa Ku",Paku,6.6298,101.4776,1,"Isranews Agency",National,"Property destruction: On 25 September 2024, suspected Malay Muslim separatists destroyed two CCTVs in Paku village, Pa Ku, Thung Yang Daeng (Pattani). There were no casualties.",0,,1753971276
THA13162,2024-09-26,2024,1,"Strategic developments","Strategic developments",Arrests,"Military Forces of Thailand (2023-2025)",,"State forces","Malay Muslim Separatists (Thailand)",,"Rebel group","State forces-Rebel group",,764,"Southeast Asia",Thailand,Pattani,"Nong Chik","Pulo Puyo","Nam Dam",6.7725,101.1864,2,"Deep South Watch (CSCD)","Local partner-Other","On 26 September 2024, the military engaged in counter-insurgency-related arrests in Nam Dam (Nong Chik, Pattani). No weapons were used. There were no casualties.",0,,1757450424
THA13059,2024-10-09,2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Malay Muslim Separatists (Thailand)",,"Rebel group","Civilians (Thailand)",,Civilians,"Rebel group-Civilians",,764,"Southeast Asia",Thailand,Yala,"Bannang Sata","Bannang Sata","Ka Sot",6.2259,101.2070,1,"Isranews Agency",National,"Looting: On 9 October 2024, a group of 9-10 members of Malay Muslim separatists, disguised as officers and covering their faces with scarves or woolen hats, broke into the home in Ka Sot village, Bannang Sata, Bannang Sata (Yala). They looted several items, including two shotguns, an air rifle, a mobile phone, and about 1,000 baht in cash. The stolen mobile phone was later found abandoned in a nearby hut.",0,,1753971276
