event_id,event_date,year,event_type,actor_1,actor_2,country,fatalities,location,latitude,longitude,notes,closest_border_km,closest_border_temple_km,y_km,x_km,grid_x,grid_y,grid_id,days_since_last_event_in_area,total_events_in_area,total_fatalities_in_area,events_last_30_days_in_area,events_last_90_days_in_area,tempo_risk,border_risk,temple_risk,cluster
51.0,2026-09-13,2025,Protest,???,???,thailand,0,Sa Kaeo Province,13.6722,102.2824,,13.800287752069735,270.7291674629057,1520.279276069736,11051.009679177265,11050.0,1520.0,11050.0_1520.0,365.0,4,7,0.0,0.0,0.0027322404371584,0.0675662538966619,0.0036801349274972,0
39.0,2026-11-08,2025,Skirmish,???,???,thailand,1,Sa Kaeo Province,13.6722,102.2824,,13.800287752069735,270.7291674629057,1520.279276069736,11051.009679177265,11050.0,1520.0,11050.0_1520.0,56.0,4,7,0.0,0.0,0.0175438596491228,0.0675662538966619,0.0036801349274972,1
40.0,2026-12-06,2025,Skirmish,???,???,thailand,1,Sa Kaeo Province,13.6722,102.2824,,13.800287752069735,270.7291674629057,1520.279276069736,11051.009679177265,11050.0,1520.0,11050.0_1520.0,28.0,4,7,-1.0,-1.0,0.0344827586206896,0.0675662538966619,0.0036801349274972,-1
22.0,2026-12-20,2025,Battle,Royal Thai Armed Forces,Royal Cambodian Armed Forces,thailand,5,Sa Kaeo Province,13.6722,102.2824,,13.800287752069735,270.7291674629057,1520.279276069736,11051.009679177265,11050.0,1520.0,11050.0_1520.0,14.0,4,7,0.0,0.0,0.0666666666666666,0.0675662538966619,0.0036801349274972,1
7.0,2026-12-13,2025,Airstrike,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Nong Ya Kaeo,13.716667,102.65,RTAF airstriking an ammunition depot belonging to RCAF across the border,1.6929398775150972,231.46607073812143,1525.2237808728394,11088.629500349169,11080.0,1520.0,11080.0_1520.0,365.0,1,0,0.0,0.0,0.0027322404371584,0.371341376147895,0.0043017030262731,0
11.0,2026-09-16,2025,Protest,Cambodian Civilians,Royal Thai Armed Forces,cambodia,0,Ban Nong Chan,13.608333,102.624167,Cambodian civilians dismantling razor wire set up by Thai Military to deter movement at the border,0.1276705154968781,238.28204841589903,1513.177589689728,11090.935291655413,11090.0,1510.0,11090.0_1510.0,365.0,1,0,0.0,0.0,0.0027322404371584,0.8867838488792771,0.0041791685026947,0
1.0,2026-09-17,2025,Protest,Royal Thai Police,Cambodian Civilians,thailand,0,Sa Kaeo Province,13.766667,102.7,Protest dispersed by use of force by Thai police,1.0995834418823982,224.56878783905657,1530.7835272050677,11091.663412769898,11090.0,1530.0,11090.0_1530.0,365.0,4,1,0.0,0.0,0.0027322404371584,0.4762849525539419,0.0044332374597566,0
54.0,2026-11-12,2025,Battle,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,1,Prey Chan village in Banteay Meanchey,13.8051112,102.7347864,"Cambodian civilian killed, debate over which country shot first",0.5412197166621833,219.6823294587235,1535.0583272039762,11093.59384602095,11090.0,1530.0,11090.0_1530.0,56.0,4,1,1.0,1.0,0.0175438596491228,0.6488367551939306,0.0045314004182062,-1
20.0,2026-12-09,2025,Battle,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Sa Kaeo Province,13.80855,102.74963,RTAF recaptures area previously held by RCAF in Cambodian territory.,1.5960021052650166,218.038662790889,1535.4407043177216,11095.033052510888,11090.0,1530.0,11090.0_1530.0,27.0,4,1,0.0,0.0,0.0357142857142857,0.3852076999367123,0.0045654040581624,1
21.0,2026-12-09,2025,Airstrike,Royal Cambodian Armed Forces,Royal Thai Armed Forces,thailand,0,Sa Kaeo Province,13.83639,102.75856,Drone strike by RTAF against RCAF ,0.9391272933122704,216.20458416295503,1538.536371075506,11094.670872510043,11090.0,1530.0,11090.0_1530.0,0.0,4,1,0.0,0.0,1.0,0.5156959027129547,0.004603954395593,1
