COUNTRY,CITY,RNUMBER(USEFUL??),PTYPE,BDAY,BMONTH,BYEAR,EDAY,EMONTH,EYEAR,ACTOR1,ACTOR2,ACTOR3,TARGET1,TARGET2,NPART,NDEATH,Deathdummy,ELOCAL,REPORTID1,REPORTID2,REPORTID3,COMMENT
Ivory Coast,Abidjan,1,61,28,9,1963,28,9,1963,PDCI,,,Plot makers,,12,0,0,99,$#1A,,,A massive demonstration of support for President Houphouet-Boigny was organized by the P.D.C.I. in Abidjan on Sept. 28
Ivory Coast,Abidjan,2,62,22,1,1967,22,1,1967,Students,Foreign students,,Government,,3,0,0,University of Abidjan,$#2A,,,"Student demonstration at the University of Abidjan, Jan 22 1967, several hundred students arrested"
Ivory Coast,Abidjan,3,60,99,5,1967,26,5,1967,Students,,,Government,,99,0,0,University of Abidjan,$#2B,,,Student demonstration
Ivory Coast,Abidjan,4,62,9,2,1981,9,2,1981,Students,,,Government,,11,0,0,University of Abidjan,$#3B,,,"Arrest of some 100 students who had protested on Feb. 9, 1982"
Ivory Coast,Abidjan,5,60,18,4,1983,3,5,1983,Strikers,Teachers,Doctors,Government,,12,0,0,99,$#3A,,,"The country's longest strike, involving teachers in secondary and higher education, doctors, pharmacists, dentists and veterinary surgeons, began on April 18, 1983, and was ended on May 3 by a presidential decree"
Ivory Coast,Abidjan,6,51,99,1,1985,99,4,1985,Rioters,,,Burkinabe citizens,,99,>1,1,99,$#4A,,,Attacks on Burkinabe citizens in the Ivory Coast 
Ivory Coast,Abidjan,7,62,23,2,1990,23,2,1990,Students,,,Government,,11,0,0,Abidjan cathedral ,$#5A,,,"Occupation of Abidjan cathedral on Feb. 23, with students demonstrators calling on Houphouët-Boigny to resign"
Ivory Coast,Abidjan,8,62,99,2,1990,99,3,1990,Protestors,,,Government,World Bank and IMF ,99,-99,0,99,$#6C,,,Street protests in February and March against new economic plans
Ivory Coast,Abidjan,9,60,27,3,1990,2,4,1990,Strikers,,,Government,,12,-99,0,99,$#5B,,,Demonstrations in the capital calling for the President's resignation
Ivory Coast,Abidjan,10,61,5,4,1990,5,4,1990,Government supporters,,,Anti-government demonstrators,,99,0,0,99,$#5C,,,Protesters on April 5 disrupted a march organized to show support for the President
Ivory Coast,Abidjan,11,31,14,5,1990,16,5,1990,Conscripts ,,,Government,,12,-99,0,international airport,$#6A,,,"On May 16 some 900 army conscripts took control of the international airport at Abidjan, the capital, for 12 hours in protest at low levels of pay and poor employment prospects. Another group of conscripts had on May 14 occupied the national radio station"
Ivory Coast,Abidjan,12,60,21,5,1990,99,5,1990,police officers,Firemen,Customs officers,Government,,99,0,0,99,$#6B,,,A police officers' strike on May 21 was followed by similar action by firemen and customs officers
Ivory Coast,Abidjan,13,51,28,10,1990,28,10,1990,FPI supporters ,,,Government,Polling booths ,99,-99,0,99,$#7A,,,"Voting took place in an atmosphere of tension, in Abidjan, angry FPI supporters attacked polling booths and clashed with police, alleging blatant ballot-rigging"
Ivory Coast,Abidjan,14,60,99,5,1991,99,6,1991,Students,Strikers,,Government,,12,>1,1,99,$#8A,,,Student and opposition protest recurred during May and June. The authorities denied newspaper reports that four had been killed
Ivory Coast,Abidjan,15,61,1,6,1991,1,6,1991,PDCI,,,Opposition,,4,0,0,99,$#8B,,,PDCI rally
Ivory Coast,Abidjan,16,61,20,6,1991,20,6,1991,PDCI,,,Opposition,,4,0,0,99,$#8C,,,PDCI rally
Ivory Coast,Abidjan,17,31,23,6,1991,23,6,1991,Junior soldiers ,,,Government,,11,15,1,99,$#9A,,,Disaffected junior soldiers had attempted a coup d'état 
Ivory Coast,Abidjan,18,62,4,2,1992,6,2,1992,Students,,,Government,,12,-99,0,99,$#10B,,,Three days of student-initiated demonstrations on Feb. 4-6 led to confrontations between the military and students
Ivory Coast,Abidjan,19,60,18,2,1992,18,2,1992,Demonstrators,,,Government,,5,-99,0,99,$#10A,,,"More than 100 people were arrested in Abidjan, on Feb. 18 as a 20,000-strong demonstration degenerated into a riot of unprecedented violence"
Ivory Coast,Abidjan,20,31,29,3,1993,31,3,1993,Elite corps ,,,Government,,2,0,0,Presidential palace ,$#11A,,,"On March 29, 45 members of the elite corps took a commander and two non-commissioned officers hostage at the Presidential Palace in Abidjan "
Ivory Coast,Abidjan,21,51,99,11,1993,99,11,1993,Ivorian footbal fans ,,,Ghanaians,,12,35,1,99,$#12A,,,"Relations with Ghana deteriorated after 35 people, mostly Ghanaians, died in riots which erupted in Abidjan in early November"
Ivory Coast,Abidjan,22,62,27,5,1995,27,5,1995,Ouattara supporters,,,Government,,5,0,0,99,$#13A,,,"Around 10,000 demonstrators took to the streets of Abidjan on May 27 to demand the withdrawal of the controversial electoral code which imposed strict nationality and residential requirements on presidential candidates"
Ivory Coast,Abidjan,23,62,22,6,1995,22,6,1995,FPI supporters ,,,Government,,99,0,0,99,$#14A,,,FPI rally
Ivory Coast,Abidjan,24,60,99,9,1995,29,9,1995,Opposition organizations ,,,Government,,99,-99,0,99,$#15A,,,"Police and protesters clashed frequently: on Sept. 29, protesters who had erected barricades and road blocks in the Yopougon district of Abidjan were dispersed by police using tear gas and batons"
Ivory Coast,Abidjan,25,51,99,10,1995,29,10,1995,Opposition organizations ,,,Government,,99,-99,0,99,$#16A,,,Wave of violence and looting in Abidjan 
Ivory Coast,Abidjan,26,51,27,10,1999,27,10,1999,Ouattara supporters,,,Government,,99,-99,0,99,$#17A,,,"A provincial court decision to revoke the Ivorian nationality of the main opposition contender in the October 2000 presidential election, Alassane Ouattara, led to violent clashes on Oct. 27 between the police and opposition supporters, in Abidjan"
Ivory Coast,Abidjan,27,31,23,12,1999,25,12,1999,Army,,,President Henri Konan Bédié ,Government,99,0,0,99,$#18A,,,"President Henri Konan Bédié was overthrown by a former chief of general staff of the armed forces, Gen. Robert Guëi, in a virtually bloodless military coup carried out over Dec. 24-25"
Ivory Coast,Abidjan,28,31,4,7,2000,5,7,2000,Troops,,,Government,,99,3,1,99,$#19A,,,A mutiny on July 4-5 by troops demanding bonuses for the part they played in the December 1999 military coup. ...three soldiers were killed in a clash between the mutineers and forces loyal to the government 
Ivory Coast,Abidjan,29,31,19,9,2000,19,9,2000,armed assailants ,,,Residence of President Robert Guëi ,,99,10,1,Presidential palace ,$#20A,,,"It was reported on Sep. 19 that armed assailants had stormed the official residence of President Robert Guëi in Abidjan. Heavy fighting ensued, resulting in at least 10 deaths"
Ivory Coast,Abidjan,30,41,5,10,2000,5,10,2000,Terrorists,,,Government,,99,-99,0,99,$#21A,,,"A bomb explosion in the capital, Abidjan"
Ivory Coast,Abidjan,31,50,23,10,2000,27,10,2000,Demonstrators,Soldiers,,Government,,99,>1,1,99,$#21B,,,"Protest against President Guëi. On Oct. 25 an increasing number of soldiers and security personnel joined the demonstrators and they succeeded in occupying the state-run television station.  The situation deteriorated rapidly, with fighting breaking out b"
Ivory Coast,Abidjan,32,42,26,10,2000,26,10,2000,Gbagbo supporters,,,RDR supporters,Muslims,99,155,1,Yopougon,$#21C,$#22A,,"A mass grave was uncovered in Yopougon [Abidjan suburb], which allegedly contained bodies of RDR supporters.  The RDR reported that 155 of its supporters had been killed during the violence on Oct. 26  "
Ivory Coast,Abidjan,33,51,4,12,2000,5,12,2000,Ouattara supporters,,,Gbagbo supporters,,5,30,1,99,$#23A,,,"Up to 30 people were killed and 200 injured in clashes between supporters of the opposition leader and police and supporters of President Gbagbo in Abidjan, on Dec. 4-5.  The clashes broke out after tens of thousands of Ouattara supporters demonstrated ag"
Ivory Coast,Abidjan,34,31,7,1,2001,8,1,2001,Armed men ,,,Government,,11,11,1,99,$#24A,,,"Attempted coup took place on Jan. 7-8 when a group of armed men claiming to be members of the military attacked targets in Abidjan, including the official residence of President Laurent Gbagbo. At least 11 people were killed in the fighting"
Ivory Coast,Abidjan,35,51,99,5,2001,99,5,2001,Footbal fans,,,Police,,99,1,1,99,$#25A,,,In early May one supporter died and 30 others were injured during fighting between supporters and police in Abidjan
Ivory Coast,Abidjan,36,51,19,9,2002,19,9,2002,Rebel soldiers,,,Government,,99,>1,1,99,$#26A,,,"Fighting broke out early on Sept. 19 in Abidjan, between government forces and rebel soldiers who said that they were protesting against plans to force them to retire"
Ivory Coast,Abidjan,37,30,1,10,2002,1,10,2002,French forces,,,Rebel forces,,12,-99,0,99,$#27A,,,The French reinforced their forces in the country on Oct. 1 and began establishing a tactical command post in Abidjan
Ivory Coast,Abidjan,38,61,3,1,2003,3,1,2003,Gbagbo supporters,,,French Minister for Foreign Affairs,,12,0,0,Presidential palace ,$#28A,,,"Angered by an unconfirmed rumour that de Villepin was about to ask Gbagbo to resign, large crowds of protesters gathered outside the presidential compound in Abidjan, to assail the French minister"
